EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2025-01-20T22:36:41.996564394+09:00,2025-01-20T22:36:42.748220554+09:00,751ms,VALIDATE_FILE_OBJECT,a2022282a0816318e887dcd400140507,true,2025-01-20T13:36:42.037182592,,2025-01-20T13:36:42.037182592
JOB_PROCESSED,2025-01-20T22:36:41.996564394+09:00,2025-01-20T22:36:43.744270591+09:00,1747ms,CREATE_FILE_OBJECT,a2022282a0816318e887dcd400140507,true,2025-01-20T13:36:42.699822016,,2025-01-20T13:36:42.699822016
JOB_SUCCESS,2025-01-20T22:36:41.996564394+09:00,2025-01-20T22:36:43.744325295+09:00,1747ms,CREATE_FILE_OBJECT,a2022282a0816318e887dcd400140507,true,2025-01-20T13:36:42.699822016,2025-01-20T13:36:42.036826421,2025-01-20T13:36:43.706114415
