EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2025-01-20T22:24:36.421660556+09:00,2025-01-20T22:24:38.173753775+09:00,1752ms,CREATE_USER_PROFILE,a2022282a0816318e887dc8455055545,true,2025-01-20T13:24:36.807484611,,2025-01-20T13:24:36.807484611
JOB_PROCESSED,2025-01-20T22:24:36.421660556+09:00,2025-01-20T22:24:39.163006543+09:00,2741ms,CREATE_USER_PREFERENCE,a2022282a0816318e887dc8455055545,true,2025-01-20T13:24:37.810481043,,2025-01-20T13:24:37.810481043
JOB_SUCCESS,2025-01-20T22:24:36.421660556+09:00,2025-01-20T22:24:39.163091996+09:00,2741ms,CREATE_USER_PROFILE,a2022282a0816318e887dc8455055545,true,2025-01-20T13:24:36.807484611,2025-01-20T13:24:36.477112465,2025-01-20T13:24:38.811157414
