EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2025-01-20T22:23:49.558212856+09:00,2025-01-20T22:23:51.61937089+09:00,2061ms,CREATE_USER_PROFILE,a2022282a0816318e887dc8405505041,true,2025-01-20T13:23:50.221956464,,2025-01-20T13:23:50.221956464
JOB_SUCCESS,2025-01-20T22:23:49.558212856+09:00,2025-01-20T22:23:52.621014676+09:00,3062ms,CREATE_USER_PROFILE,a2022282a0816318e887dc8405505041,true,2025-01-20T13:23:50.221956464,2025-01-20T13:23:49.58008815,2025-01-20T13:23:52.218054305
JOB_PROCESSED,2025-01-20T22:23:49.558212856+09:00,2025-01-20T22:23:52.621506481+09:00,3063ms,CREATE_USER_PREFERENCE,a2022282a0816318e887dc8405505041,true,2025-01-20T13:23:51.217482591,,2025-01-20T13:23:51.217482591
