Namespace,mean,median,max,min,var,Thread,Action
WebGatewayCPUUsage,0.13728723837608028,0.14249642373186805,0.2515113210329581,0.0109222065743194,0.005495736782714701,10,type3
JobCPUUsage,0.015936735597662677,0.01615594252402805,0.0166431252512135,0.0146334953007639,4.1143202396040064e-07,10,type3
UserProfileCPUUsage,0.051069495422779866,0.0501461565752128,0.0954613527515693,0.0084582889962582,0.0007246880511886136,10,type3
UserPreferenceCPUUsage,0.046807323126542656,0.04343245440075505,0.0847773182397752,0.005943366926897,0.0006178959758667297,10,type3
OrganizationCPUUsage,0.05549211081969091,0.054228912178791,0.0945434193713263,0.0078229983333332,0.0008109311098677087,10,type3
TeamCPUUsage,0.06771878111639874,0.0650413817792985,0.1227967571593886,0.0092033589251439,0.001239088490908415,10,type3
PlanCPUUsage,0.008659693425099394,0.00842812817233585,0.0103685559240277,0.0077083215376612,5.525731510194709e-07,10,type3
StorageCPUUsage,0.00647103701596868,0.0062612347657886504,0.0088868717169957,0.0055874506172838,8.580920747700705e-07,10,type3
CPUUsage,0.003059663138277756,0.0031453230113098,0.0033184397491839,0.0023775335983303,7.551670554753586e-08,50,type1
AuthCPUUsage,0.003059663138277756,0.0031453230113098,0.0033184397491839,0.0023775335983303,7.551670554753586e-08,50,type1
WebsocketCPUUsage,0.006842972739661866,0.00688864455259375,0.0082322518768396,0.0051847639636386,5.844393365722719e-07,50,type1
WebGatewayCPUUsage,0.08429812676676253,0.08320575908576164,0.1574202894592299,0.0099805655569549,0.0023328666266323413,50,type1
JobCPUUsage,0.014234441034450176,0.0143697151202557,0.0152439992591677,0.0127754234231733,5.395717658582689e-07,50,type1
UserProfileCPUUsage,0.008868407911349458,0.0089822035919125,0.0091263124283916,0.0079291975308643,9.418621929154642e-08,50,type1
UserPreferenceCPUUsage,0.005757507779303014,0.00584879106857525,0.0060460993339584,0.0052420955784529,4.7623807112459385e-08,50,type1
OrganizationCPUUsage,0.008331420734443939,0.0084674208199894,0.0087097695723414,0.0074520123456789,1.1733917663816682e-07,50,type1
TeamCPUUsage,0.058801320048817024,0.0556237556383958,0.1055139480660511,0.0110262463442831,0.0008606760674650028,50,type1
PlanCPUUsage,0.00732145575174006,0.007398770898617599,0.0077562535566716,0.0066579664961724,1.0665970844863286e-07,50,type1
StorageCPUUsage,0.006138882830315551,0.0061255842656124,0.0066391697071407,0.0057125322222221,5.930286009690318e-08,50,type1
CPUUsage,0.00395893989087791,0.003863356865639,0.0047169438908477,0.0030945210069548,1.7363721494371463e-07,50,type2
AuthCPUUsage,0.00395893989087791,0.003863356865639,0.0047169438908477,0.0030945210069548,1.7363721494371463e-07,50,type2
WebsocketCPUUsage,0.004973706519505267,0.0049384954657463,0.0052418297548926,0.0045220819980212,4.3046920983438964e-08,50,type2
WebGatewayCPUUsage,0.20597366669177816,0.20549750646224274,0.3155883124273425,0.1143149969675544,0.003985773209674177,50,type2
JobCPUUsage,0.014739242361878839,0.01489017183607785,0.0152313999036167,0.0134051194444444,2.2885948713697983e-07,50,type2
UserProfileCPUUsage,0.05405500633325193,0.0513543741691129,0.0789116286628662,0.0328291168122178,0.00019135836128932182,50,type2
UserPreferenceCPUUsage,0.04347748698099981,0.0409614727017176,0.0637364288337979,0.0238576066666667,0.00013970718795524946,50,type2
OrganizationCPUUsage,0.008739409135647719,0.00879910120927175,0.0090493909472154,0.0077018148148147,9.721293154974277e-08,50,type2
TeamCPUUsage,0.13032719827654135,0.12254508953386026,0.2036789315330772,0.0757920016414541,0.0016333915045361864,50,type2
PlanCPUUsage,0.008122279694427597,0.0082139227800671,0.0084137613370261,0.007450499307499,7.28593035311841e-08,50,type2
StorageCPUUsage,0.005889729844593226,0.0059394721127433,0.0063821810106458,0.0053585357724931,7.054145340026235e-08,50,type2
CPUUsage,0.004858760829301569,0.0050841014338584,0.0058661083981655,0.0022470144474003,1.139412869514692e-06,50,type3
AuthCPUUsage,0.004858760829301569,0.0050841014338584,0.0058661083981655,0.0022470144474003,1.139412869514692e-06,50,type3
WebsocketCPUUsage,0.0062759669012201055,0.0062438794958499,0.0069965665544117,0.0057243172026639,9.804651619537618e-08,50,type3
WebGatewayCPUUsage,0.2163465288640149,0.2066175434973214,0.4137276501330955,0.0057108192778076,0.01603483400917928,50,type3
JobCPUUsage,0.014656736481498983,0.0148168148040216,0.0153061700951873,0.0136485974251808,1.851705144228155e-07,50,type3
UserProfileCPUUsage,0.044229116337038514,0.043690878420749,0.0780573493654461,0.009305936189958,0.0005168829992153492,50,type3
UserPreferenceCPUUsage,0.03658600749972881,0.035085776726915,0.067956629283489,0.0057115925925927,0.00038684746967628273,50,type3
OrganizationCPUUsage,0.0581838392284034,0.0573996318147262,0.1078700061978669,0.0085660423373649,0.0010432919083371154,50,type3
TeamCPUUsage,0.10560027767795233,0.1028490970449197,0.202914391845197,0.0087792991728892,0.0037785069842412524,50,type3
PlanCPUUsage,0.00934871487814165,0.0096819381205434,0.0103265417740203,0.0075986228328997,7.498886275201933e-07,50,type3
StorageCPUUsage,0.006410671198996709,0.006361035557585,0.0071790136894284,0.005319215,2.9963622816762483e-07,50,type3
CPUUsage,0.0031157321571519143,0.0032000062478,0.003414296714255,0.0023585598618957,7.789700194770545e-08,100,type1
AuthCPUUsage,0.0031157321571519143,0.0032000062478,0.003414296714255,0.0023585598618957,7.789700194770545e-08,100,type1
WebsocketCPUUsage,0.005129791492660886,0.0051863948853868,0.005653477006789,0.004344066562587,1.6160796306617127e-07,100,type1
WebGatewayCPUUsage,0.18209389125157227,0.17683579211897793,0.3109039389776218,0.047937766438229,0.006965082928766441,100,type1
JobCPUUsage,0.014351502585136094,0.014469033049789099,0.0151116373607409,0.0133664342652066,2.648190757050826e-07,100,type1
UserProfileCPUUsage,0.011769395009897533,0.01022086501137795,0.0187716262123971,0.0082111414241013,1.139158493813874e-05,100,type1
UserPreferenceCPUUsage,0.008347750651641037,0.00726310828001425,0.0142482146991255,0.0052805851459649,8.93615522651843e-06,100,type1
OrganizationCPUUsage,0.008350955964503866,0.00846669422119915,0.0087183202838268,0.0074652294444445,1.1258101117882775e-07,100,type1
TeamCPUUsage,0.13191917409407736,0.13201046686000575,0.2178173992224534,0.03489224190518,0.0031146951369854623,100,type1
PlanCPUUsage,0.007915562923098052,0.00796402287123545,0.0082078774348658,0.0073560296065027,4.4841298375042466e-08,100,type1
StorageCPUUsage,0.005978755991247542,0.00606871054236755,0.0062293293144376,0.0051571177777777,6.707725853019016e-08,100,type1
CPUUsage,0.003668343321434833,0.0037126389460682,0.0038250016989466,0.0032585541214468,3.07384507841059e-08,100,type2
AuthCPUUsage,0.003668343321434833,0.0037126389460682,0.0038250016989466,0.0032585541214468,3.07384507841059e-08,100,type2
WebsocketCPUUsage,0.005120181917476813,0.0052022390965732,0.0054185213925434,0.0046609356090008,5.814680970410967e-08,100,type2
WebGatewayCPUUsage,0.13678719262078512,0.1211582669172031,0.2655307671600956,0.0508954080362993,0.004715095188337586,100,type2
JobCPUUsage,0.01499558289828884,0.0151323758581476,0.0153782666257965,0.014255358412003,1.466957108769079e-07,100,type2
UserProfileCPUUsage,0.03692363313561541,0.0400600925053841,0.0690193996560085,0.0164379699962779,0.000342610792220735,100,type2
UserPreferenceCPUUsage,0.029942468006745666,0.032729797559293,0.0486881090152988,0.0115055277280304,0.00016099559913649553,100,type2
OrganizationCPUUsage,0.01377613694783425,0.0090840305239863,0.0284377071174786,0.0083901631748513,5.5203064686903396e-05,100,type2
TeamCPUUsage,0.07898698840236719,0.0648167716049382,0.1709620753020291,0.0411958247490882,0.0013722756568287932,100,type2
