EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2025-01-20T22:35:57.808574323+09:00,2025-01-20T22:35:59.633560963+09:00,1824ms,VALIDATE_TASK,a2022282a0816318e887dcd111414517,true,2025-01-20T13:35:57.881986941,,2025-01-20T13:35:57.881986941
JOB_PROCESSED,2025-01-20T22:35:57.808574323+09:00,2025-01-20T22:36:01.119554809+09:00,3310ms,VALIDATE_USER,a2022282a0816318e887dcd111414517,true,2025-01-20T13:35:58.805594969,,2025-01-20T13:35:58.805594969
JOB_PROCESSED,2025-01-20T22:35:57.808574323+09:00,2025-01-20T22:36:02.611297208+09:00,4802ms,VALIDATE_TEAM,a2022282a0816318e887dcd111414517,true,2025-01-20T13:36:00.310835214,,2025-01-20T13:36:00.310835214
JOB_PROCESSED,2025-01-20T22:35:57.808574323+09:00,2025-01-20T22:36:03.640555337+09:00,5831ms,VALIDATE_FILE_OBJECT,a2022282a0816318e887dcd111414517,true,2025-01-20T13:36:01.814732088,,2025-01-20T13:36:01.814732088
JOB_SUCCESS,2025-01-20T22:35:57.808574323+09:00,2025-01-20T22:36:04.654180711+09:00,6845ms,VALIDATE_FILE_OBJECT,a2022282a0816318e887dcd111414517,true,2025-01-20T13:36:01.814732088,2025-01-20T13:35:57.881243365,2025-01-20T13:36:03.819239332
JOB_PROCESSED,2025-01-20T22:35:57.808574323+09:00,2025-01-20T22:36:04.655330355+09:00,6846ms,CREATE_TASK_AND_ATTACH_FILE_OBJECT,a2022282a0816318e887dcd111414517,true,2025-01-20T13:36:02.81768929,,2025-01-20T13:36:02.81768929
