LastActionCode,TotalTime_count,TotalTime_mean,TotalTime_max,TotalTime_min,TotalTime_median,TotalTime_var,thread,action,record_count
CREATE_USER_PREFERENCE,485,17965.01649484536,25860,7913,19396.0,21206337.941876095,500,create_user_profile,1458
CREATE_USER_PROFILE,487,11708.078028747434,17693,3873,11722.0,8037332.812829029,500,create_user_profile,1458
CREATE_FILE_OBJECT,493,19654.17444219067,27377,5172,19466.0,9970575.628044644,500,create_file_object,1482
VALIDATE_FILE_OBJECT,495,5537.113131313131,12282,767,5793.0,7443486.157215892,500,create_file_object,1482
CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,266,29861.31954887218,34730,22291,30629.5,8809863.357880555,500,create_organization,1330
CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,266,21856.64285714286,25944,15772,22493.0,6001687.973854448,500,create_organization,1330
VALIDATE_ORGANIZATION,266,3720.0451127819547,6863,986,3381.0,1803427.1149382896,500,create_organization,1330
VALIDATE_USER,266,15122.052631578947,17267,10408,14984.0,798399.1066534262,500,create_organization,1330
CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,89,18129.303370786518,19668,15806,18127.0,871850.4637385085,500,create_team,368
VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,95,15042.031578947368,18618,11237,15050.0,917743.2011198205,500,create_team,368
VALIDATE_TEAM,95,2260.547368421053,7073,737,2395.0,1155393.6759238522,500,create_team,368
CREATE_TASK_AND_ATTACH_FILE_OBJECT,406,39371.19704433498,44893,28544,40020.5,16121703.694411004,500,create_task,2442
VALIDATE_FILE_OBJECT,408,30173.899509803923,35595,20310,31032.0,9537778.572186494,500,create_task,2442
VALIDATE_TASK,406,4772.995073891626,8784,605,5595.5,5433220.241950985,500,create_task,2442
VALIDATE_TEAM,408,22484.835784313724,26812,16042,22588.5,6886961.199011176,500,create_task,2442
VALIDATE_USER,408,16270.411764705883,19238,6639,16201.5,2024992.011851422,500,create_task,2442
CREATE_USER_PREFERENCE,468,110035.00213675214,156685,6869,112423.0,718205998.9700172,1000,create_user_profile,1404
CREATE_USER_PROFILE,468,80703.06837606838,114157,3532,84184.5,443512709.16019684,1000,create_user_profile,1404
CREATE_FILE_OBJECT,418,70196.87799043063,91247,6077,69758.5,200831596.48148108,1000,create_file_object,1254
VALIDATE_FILE_OBJECT,419,13711.658711217184,36281,654,5535.0,139916045.77080312,1000,create_file_object,1254
CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,258,84602.93023255814,109294,59622,83409.0,224371676.74219528,1000,create_organization,1290
CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,258,50790.1007751938,58424,39181,49276.5,33184472.908092786,1000,create_organization,1290
VALIDATE_ORGANIZATION,258,5208.914728682171,10363,814,4204.0,8596477.782583777,1000,create_organization,1290
VALIDATE_USER,258,33735.0,37987,11827,34693.0,13881776.731517509,1000,create_organization,1290
CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,123,71382.51219512195,93732,31943,77006.0,227539866.3174731,1000,create_team,496
VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,125,45625.024,52304,5118,49086.0,82327046.9752258,1000,create_team,496
VALIDATE_TEAM,125,2869.592,5187,612,3072.0,700288.0821935484,1000,create_team,496
CREATE_TASK_AND_ATTACH_FILE_OBJECT,116,81818.02586206897,92734,52503,82800.5,52746591.71236884,1000,create_task,702
VALIDATE_FILE_OBJECT,116,53602.8275862069,56892,41834,53464.0,4196803.204797603,1000,create_task,702
VALIDATE_TASK,118,3377.330508474576,8451,1430,2979.0,1771857.5394031578,1000,create_task,702
VALIDATE_TEAM,118,40578.0,43977,31353,39923.0,3669199.709401703,1000,create_task,702
