Success,SendDatetime,ReceivedDatetime,Count,ResponseTime,StatusCode,UserProfile,UserPreference,Organization,Team,Plan,PlanCommand,PlanQuery,Storage,Auth,Websocket,WebGateway,Job
true,2025-01-26T14:20:11.23602825+09:00,2025-01-26T14:20:11.417303431+09:00,45,181,200,33696436.431533195,21075047.57902976,34826118.7060485,32151949.019453116,<nil>,31239650.349648353,51812542.41432314,34974694.54875995,166.86696677734096,<nil>,54205667.091075614,29385413.68791089
true,2025-01-26T14:20:16.239482154+09:00,2025-01-26T14:20:16.421693061+09:00,46,182,200,24019025.55759658,24428991.60453933,34819651.62358623,23717296.39307325,<nil>,34748974.854127586,40822078.85468161,32364724.490869682,238.52783601211277,<nil>,56721184.81692945,19172264.681890536
true,2025-01-26T14:20:22.737308338+09:00,2025-01-26T14:20:22.927349885+09:00,47,190,200,37859405.18198722,23849457.12966592,27255121.102871127,15546251.83823178,<nil>,27863778.008327097,44687507.55462117,22702422.068922922,194.9686776923674,<nil>,67850905.48812924,19172264.681890536
true,2025-01-26T14:20:27.737233952+09:00,2025-01-26T14:20:27.915556347+09:00,48,178,200,49422555.254496835,33835198.428700425,32773705.043214306,26819327.2543668,<nil>,23009660.92820877,31618593.13014008,34862569.43722918,528.5843334623822,<nil>,85792860.65066056,13825748.563054292
true,2025-01-26T14:20:32.738712457+09:00,2025-01-26T14:20:32.91657724+09:00,49,177,200,39058622.94392686,33109263.72720108,29964340.431835175,22562755.33492872,<nil>,25497279.98472251,38673254.923691094,28603118.303902354,546.7894807101856,<nil>,81357080.98879072,28364948.925816827
true,2025-01-26T14:20:37.737727856+09:00,2025-01-26T14:20:37.93850122+09:00,50,200,200,38160611.02567125,35068188.939282954,31807164.06304027,28208544.875737168,<nil>,23299962.774335917,50086729.1442784,35051601.97091964,546.7894807101856,<nil>,93610135.35411894,28364948.925816827
true,2025-01-26T14:20:42.739200686+09:00,2025-01-26T14:20:42.912334829+09:00,51,173,200,43391907.75305941,31761824.231810253,25535856.88252237,16614263.032716451,<nil>,26043372.57170445,62769981.442469254,26440052.289732296,5481.1395768283455,<nil>,71576995.65216225,34564657.2392785
true,2025-01-26T14:20:47.73749542+09:00,2025-01-26T14:20:47.921235113+09:00,52,183,200,46646815.220404655,20894439.737988677,26543810.520670567,16604401.45345803,<nil>,28381211.600573864,58926306.62598668,25087568.359082866,10129039.470458444,<nil>,84353591.83426677,27589273.331626944
true,2025-01-26T14:20:54.276947717+09:00,2025-01-26T14:20:54.468955072+09:00,53,192,200,48820914.39787279,16293566.141039308,10608822.858636288,21561651.445002463,<nil>,27232878.350147974,59888394.24382139,32203696.20646489,10129039.470458446,<nil>,93932135.44798158,24799346.99028636
true,2025-01-26T14:20:59.276579479+09:00,2025-01-26T14:20:59.456179006+09:00,54,179,200,48312011.70226735,9428693.711385334,8473051.675820133,16688209.568657108,<nil>,24719811.053332824,61387997.3237973,28290542.4958354,10129039.470458446,<nil>,95308845.52343443,25876577.513589665
true,2025-01-26T14:21:04.276398314+09:00,2025-01-26T14:21:04.453099071+09:00,55,176,200,38540448.0877045,15368187.03593249,7888.146700792381,21417757.756770223,<nil>,25387463.40917638,59923023.71177598,23458662.6753404,11361484.8,<nil>,57408264.86651668,16177538.163175577
true,2025-01-26T14:21:09.278630222+09:00,2025-01-26T14:21:09.453667846+09:00,56,175,200,33380222.07109347,17877814.16785672,8319.420054855136,20541840.42274392,<nil>,18077455.546667412,63713944.962133124,15399149.10436408,10453830.929542474,<nil>,32095333.67313726,8165857.490879632
true,2025-01-26T14:21:14.276865493+09:00,2025-01-26T14:21:14.452828837+09:00,57,175,200,21815602.683138542,18033231.75747734,8082320.817954825,15767975.895668354,<nil>,32075161.060762063,65163311.831969395,13494027.712543331,10453830.929542474,<nil>,32095333.67313726,12183324.07758691
true,2025-01-26T14:21:19.276370623+09:00,2025-01-26T14:21:19.461745697+09:00,58,185,200,24810205.5170779,16222190.468679925,8082501.543546322,26212390.080954336,<nil>,38112048.596162215,59245667.07614126,8992781.408422867,10453830.929542474,<nil>,17631710.673690297,9387392.090347646
true,2025-01-26T14:21:24.276562805+09:00,2025-01-26T14:21:24.463485792+09:00,59,186,200,23604302.022284202,16221559.368183028,12249124.053562725,26212479.21329923,<nil>,33705491.819035605,65868773.89003989,6714198.429990961,12399682.829963109,<nil>,17638016.290529512,7580540.930208298
true,2025-01-26T14:21:30.820548037+09:00,2025-01-26T14:21:31.00306279+09:00,60,182,200,14445460.561362252,15581261.145532137,8491479.328914883,30970697.65700779,<nil>,32839252.546062935,63583252.06422733,8344886.481188229,9261956.07935893,<nil>,13951517.366039982,20170.1145197315
true,2025-01-26T14:21:35.824567882+09:00,2025-01-26T14:21:36.001027219+09:00,61,176,200,8870341.147976592,25204246.443712354,8491541.678212171,27050810.47989746,<nil>,35556773.48324311,50669785.72373409,7166678.364743509,9261956.07935893,<nil>,14182119.496500408,19963.68306552663
true,2025-01-26T14:21:40.820956061+09:00,2025-01-26T14:21:41.000268679+09:00,62,179,200,7589070.79287065,25204246.443712354,9570429.420666797,24565646.557740554,<nil>,34065542.91833514,69603784.92866038,25070.86859493549,1136.6050899865218,<nil>,14182119.496500408,33212.54271342067
