Namespace,mean,median,max,min,var,Thread,Action
CPUUsage,69.93850911111112,69.9455425,70.207413,69.521317,0.03018309103050178,10,type3
AuthCPUUsage,69.93850911111112,69.9455425,70.207413,69.521317,0.03018309103050178,10,type3
WebsocketCPUUsage,116.8170352777778,116.802036,117.286962,116.365977,0.08530166365009195,10,type3
WebGatewayCPUUsage,183.90368480555557,184.799535,203.958815,161.845721,162.81830319228092,10,type3
JobCPUUsage,186.90082147222225,187.0409195,188.395685,185.41694,0.8593622875256253,10,type3
UserProfileCPUUsage,160.42689875,160.418139,169.163732,152.595446,24.881262485499278,10,type3
UserPreferenceCPUUsage,110.09960413888888,109.375142,117.330459,102.741317,20.717705322516412,10,type3
OrganizationCPUUsage,116.31441091666665,115.705752,123.393225,107.953481,26.865702884720886,10,type3
TeamCPUUsage,120.43530755555555,119.9210625,132.188236,110.004973,40.09322838381138,10,type3
PlanCPUUsage,102.3957041111111,102.4015225,103.093434,101.581291,0.2199555160028457,10,type3
StorageCPUUsage,110.11926544444445,110.108654,110.77265,109.592318,0.12258056171196784,10,type3
CPUUsage,78.10900811111111,78.125569,78.320828,77.875254,0.018658020175644458,50,type1
AuthCPUUsage,78.10900811111111,78.125569,78.320828,77.875254,0.018658020175644458,50,type1
WebsocketCPUUsage,130.94862983333334,130.953824,131.389017,130.427567,0.08815701698214268,50,type1
WebGatewayCPUUsage,579.1103985833334,579.0554615,592.913691,565.972017,73.77530571488789,50,type1
JobCPUUsage,225.2470499166667,225.305253,226.515077,223.982639,0.544954927494768,50,type1
UserProfileCPUUsage,247.6942704444444,247.7240145,248.555616,246.8923,0.24926783237893743,50,type1
UserPreferenceCPUUsage,185.49957461111111,185.4970705,186.078369,184.978266,0.09477416563755876,50,type1
OrganizationCPUUsage,191.96713711111113,191.9428165,192.649599,191.234079,0.20432270528307073,50,type1
TeamCPUUsage,351.17530788888894,350.881289,359.617773,342.311858,29.92534384955335,50,type1
PlanCPUUsage,123.65042125000001,123.630888,124.325566,122.970799,0.17925447013556314,50,type1
StorageCPUUsage,126.46819766666668,126.456628,127.087754,125.928628,0.1165030446592008,50,type1
CPUUsage,75.24339422222221,75.240592,75.572254,74.971512,0.0358354408724634,50,type2
AuthCPUUsage,75.24339422222221,75.240592,75.572254,74.971512,0.0358354408724634,50,type2
WebsocketCPUUsage,125.72382880555558,125.739045,126.1992,125.317184,0.07097390173387617,50,type2
WebGatewayCPUUsage,458.51248894444444,458.296514,487.387527,432.258291,291.7025651410616,50,type2
JobCPUUsage,210.69430563888892,210.572483,212.103268,209.287453,0.6578804139444107,50,type2
UserProfileCPUUsage,229.1471276111111,229.43184200000002,235.882419,222.475257,17.907530033452474,50,type2
UserPreferenceCPUUsage,171.2459505555555,171.27253,176.419937,165.835292,12.26944750806047,50,type2
OrganizationCPUUsage,183.54445252777776,183.5435045,184.317081,182.727472,0.22910980633265804,50,type2
TeamCPUUsage,268.2526247222223,268.901977,287.354981,251.469295,117.91052282315489,50,type2
PlanCPUUsage,115.94372602777776,115.934852,116.671919,115.208363,0.21009444436248392,50,type2
StorageCPUUsage,120.40850541666666,120.443904,120.964346,119.860037,0.10213631085716446,50,type2
CPUUsage,73.52311022857143,73.507785,73.742558,73.348167,0.01616220336406365,50,type3
AuthCPUUsage,73.52311022857143,73.507785,73.742558,73.348167,0.01616220336406365,50,type3
WebsocketCPUUsage,123.00732640000001,123.00436,123.51067,122.42045,0.1124738813221291,50,type3
WebGatewayCPUUsage,339.8132768285714,337.678635,373.325852,304.984129,441.9478541341336,50,type3
JobCPUUsage,203.0676812,203.053435,204.415144,201.851828,0.6347997264504008,50,type3
UserProfileCPUUsage,200.31319128571434,200.051316,206.659443,193.786303,17.842357280773633,50,type3
UserPreferenceCPUUsage,147.84844740000005,147.547749,153.31378,142.406741,12.831206101313368,50,type3
OrganizationCPUUsage,168.61987037142856,168.234815,177.977731,159.855442,33.98420870662074,50,type3
TeamCPUUsage,197.07017257142863,197.308713,215.049611,180.533829,111.61313018950496,50,type3
PlanCPUUsage,111.77850245714285,111.724169,112.455374,111.069046,0.18731021113125743,50,type3
StorageCPUUsage,117.27415722857144,117.265233,117.748416,116.788705,0.09428253879335961,50,type3
CPUUsage,77.15260572222222,77.137357,77.363069,76.947038,0.017280377545120296,100,type1
AuthCPUUsage,77.15260572222222,77.137357,77.363069,76.947038,0.017280377545120296,100,type1
WebsocketCPUUsage,128.85972475000003,128.86348900000002,129.277071,128.446757,0.06412360286459393,100,type1
WebGatewayCPUUsage,534.4817648333333,534.068104,563.85775,507.175064,280.5669040750253,100,type1
JobCPUUsage,220.2035550555555,220.21860700000002,221.513416,218.983682,0.6185630473939998,100,type1
UserProfileCPUUsage,244.68068391666668,244.677522,245.525106,243.905227,0.23091004722802394,100,type1
UserPreferenceCPUUsage,183.5348811111111,183.504124,184.053341,182.965019,0.09332858264495764,100,type1
OrganizationCPUUsage,189.05567208333338,189.065129,189.895066,188.248389,0.22120001155190852,100,type1
TeamCPUUsage,320.31700219444446,319.4893285,337.309593,300.524408,129.89843705051533,100,type1
PlanCPUUsage,121.06398136111112,121.106184,121.768938,120.306833,0.1880508635921238,100,type1
StorageCPUUsage,124.4016125,124.38245,125.001545,123.825154,0.1160294101268867,100,type1
CPUUsage,74.38062186666666,74.395769,74.469076,74.233668,0.005536500638838517,100,type2
AuthCPUUsage,74.38062186666666,74.395769,74.469076,74.233668,0.005536500638838517,100,type2
WebsocketCPUUsage,124.49792766666668,124.520819,124.691945,124.352677,0.012977096432381038,100,type2
WebGatewayCPUUsage,399.8192162666666,399.943635,422.878432,381.249643,208.47861554779988,100,type2
JobCPUUsage,207.1480597333333,207.175688,207.697112,206.752804,0.09680006556906685,100,type2
UserProfileCPUUsage,214.216116,215.473486,220.451541,209.807757,14.510688631458143,100,type2
UserPreferenceCPUUsage,159.2709578,160.323136,162.641257,155.580703,7.430035046467039,100,type2
OrganizationCPUUsage,181.40912913333332,181.404989,181.678277,181.05599,0.05050909743383798,100,type2
TeamCPUUsage,229.46170333333336,228.841919,244.754796,219.335399,53.70685117501191,100,type2
PlanCPUUsage,113.97426646666666,114.06653,114.255236,113.62447,0.042838033112838195,100,type2
StorageCPUUsage,118.92432506666665,118.889982,119.219028,118.654583,0.024576519726494737,100,type2
CPUUsage,71.00193211764706,70.975764,71.09117,70.916611,0.004126817634360472,100,type3
AuthCPUUsage,71.00193211764706,70.975764,71.09117,70.916611,0.004126817634360472,100,type3
WebsocketCPUUsage,118.77463905882354,118.78892,119.013672,118.501712,0.02535193658980931,100,type3
WebGatewayCPUUsage,252.17121076470588,247.954747,301.738345,207.498171,1059.6285175380299,100,type3
JobCPUUsage,191.76135235294117,191.72917,192.422964,191.105781,0.17826493619886674,100,type3
UserProfileCPUUsage,179.97391370588235,180.765395,188.267385,171.324327,37.23021944037977,100,type3
UserPreferenceCPUUsage,129.89808935294118,130.018226,138.341374,118.883089,51.6041309503625,100,type3
OrganizationCPUUsage,140.45228435294118,138.704363,154.141054,125.963717,110.47758603202449,100,type3
TeamCPUUsage,154.73782270588237,151.923961,173.344231,133.999882,181.76926214752888,100,type3
PlanCPUUsage,105.1867344117647,105.141391,105.469652,104.831455,0.05255100363850622,100,type3
StorageCPUUsage,112.36592252941176,112.37468,112.57726,112.124497,0.030299336674638366,100,type3
