Thread,Action,Count,Mean_ResponseTime_ms,Median_ResponseTime_ms,Max_ResponseTime_ms,Min_ResponseTime_ms,Variance_ResponseTime_ms
10,type1,3590.0,48.581894150417824,45.0,319.0,27.0,338.62118225683395
10,type2,3590.0,106.34874651810586,102.0,493.0,49.0,1227.8772274615021
10,type3,3590.0,167.4033426183844,156.0,1176.0,71.0,6316.16270824424
50,type1,17950.0,78.34813370473537,71.0,493.0,24.0,1687.377765473236
50,type2,17950.0,285.1947632311978,266.0,1521.0,50.0,25667.13984666242
50,type3,17762.0,359.06874225875464,309.0,2571.0,58.0,64716.12910679028
100,type1,35900.0,132.45476323119777,119.0,1336.0,25.0,7251.444985528495
100,type2,4949.0,1948.271974136189,1756.0,14629.0,104.0,1646491.1952147966
100,type3,2827.0,2062.124159886806,1637.0,17755.0,228.0,2952371.9891790096
