Namespace,mean,median,max,min,var,Thread,Action
StorageMemoryUsage,414310400.0,414314496.0,414359552.0,414273536.0,1053609164.8,50,type2
MemoryUsage,414415140.5714286,414437376.0,414466048.0,414334976.0,2437912765.3109245,50,type3
AuthMemoryUsage,414415140.5714286,414437376.0,414466048.0,414334976.0,2437912765.3109245,50,type3
WebsocketMemoryUsage,356059779.6571429,356069376.0,356139008.0,356007936.0,1868135952.3495798,50,type3
WebGatewayMemoryUsage,1214032398.6285715,1214685184.0,1215283200.0,1209585664.0,2633505863580.1816,50,type3
JobMemoryUsage,362839595.8857143,362823680.0,363085824.0,362786816.0,4501989682.339497,50,type3
UserProfileMemoryUsage,437100192.9142857,437751808.0,438206464.0,433819648.0,1646615034306.904,50,type3
UserPreferenceMemoryUsage,385901480.2285714,386387968.0,386904064.0,382083072.0,2231685619009.828,50,type3
OrganizationMemoryUsage,396028898.74285716,396251136.0,397864960.0,392855552.0,1506058451147.079,50,type3
TeamMemoryUsage,408949438.17142856,409509888.0,409858048.0,402771968.0,2697162963422.4414,50,type3
PlanMemoryUsage,380770596.5714286,380637184.0,380936192.0,380633088.0,22333717151.19327,50,type3
StorageMemoryUsage,414220053.94285715,414212096.0,414240768.0,414195712.0,281208697.76134443,50,type3
MemoryUsage,415471616.0,415469568.0,415522816.0,415383552.0,2408728868.571429,100,type1
AuthMemoryUsage,415471616.0,415469568.0,415522816.0,415383552.0,2408728868.571429,100,type1
WebsocketMemoryUsage,361048291.5555556,361041920.0,361140224.0,361041920.0,514288246.65396816,100,type1
WebGatewayMemoryUsage,1220427662.2222223,1222105088.0,1222275072.0,1201541120.0,25897115509230.12,100,type1
JobMemoryUsage,362944512.0,362942464.0,362958848.0,362942464.0,19653310.171428572,100,type1
UserProfileMemoryUsage,436223772.4444444,436146176.0,437043200.0,436121600.0,63215537928.939674,100,type1
UserPreferenceMemoryUsage,382861994.6666667,382832640.0,383819776.0,382832640.0,26974407884.800003,100,type1
OrganizationMemoryUsage,394272199.1111111,394272768.0,394276864.0,394268672.0,3981259.987301586,100,type1
TeamMemoryUsage,433389226.6666667,432726016.0,440438784.0,414900224.0,28385701902043.438,100,type1
PlanMemoryUsage,382173070.2222222,382210048.0,382214144.0,381755392.0,16102758601.549204,100,type1
StorageMemoryUsage,414632277.3333333,414629888.0,414642176.0,414613504.0,83766242.74285714,100,type1
MemoryUsage,414562986.6666667,414535680.0,414625792.0,414523392.0,2125114026.6666667,100,type2
AuthMemoryUsage,414562986.6666667,414535680.0,414625792.0,414523392.0,2125114026.6666667,100,type2
WebsocketMemoryUsage,356219289.6,356270080.0,356290560.0,356155392.0,3872660801.8285713,100,type2
WebGatewayMemoryUsage,1228911957.3333333,1229115392.0,1242619904.0,1212747776.0,120583082687731.78,100,type2
JobMemoryUsage,362878839.46666664,362901504.0,362909696.0,362803200.0,2240637142.552382,100,type2
UserProfileMemoryUsage,438555443.2,439062528.0,439476224.0,434921472.0,2231228799385.5996,100,type2
