
=== ResponseTimeの統計 ===
|   Thread | Action   |   Count |   Mean_ResponseTime_ms |   Median_ResponseTime_ms |   Max_ResponseTime_ms |   Min_ResponseTime_ms |   Variance_ResponseTime_ms |
|---------:|:---------|--------:|-----------------------:|-------------------------:|----------------------:|----------------------:|---------------------------:|
|       10 | type1    |    3590 |                48.5819 |                       45 |                   319 |                    27 |              338.621       |
|       10 | type2    |    3590 |               106.349  |                      102 |                   493 |                    49 |             1227.88        |
|       10 | type3    |    3590 |               167.403  |                      156 |                  1176 |                    71 |             6316.16        |
|       50 | type1    |   17950 |                78.3481 |                       71 |                   493 |                    24 |             1687.38        |
|       50 | type2    |   17950 |               285.195  |                      266 |                  1521 |                    50 |            25667.1         |
|       50 | type3    |   17762 |               359.069  |                      309 |                  2571 |                    58 |            64716.1         |
|      100 | type1    |   35900 |               132.455  |                      119 |                  1336 |                    25 |             7251.44        |
|      100 | type2    |    4949 |              1948.27   |                     1756 |                 14629 |                   104 |                1.64649e+06 |
|      100 | type3    |    2827 |              2062.12   |                     1637 |                 17755 |                   228 |                2.95237e+06 |

=== Metrics Memory使用量の統計 ===
| Namespace                 |        mean |      median |         max |         min |              var |   Thread | Action   |
|:--------------------------|------------:|------------:|------------:|------------:|-----------------:|---------:|:---------|
| WebsocketMemoryUsage      | 3.61054e+08 | 3.61071e+08 | 3.61214e+08 | 3.60968e+08 |      3.57449e+09 |       50 | type1    |
| WebGatewayMemoryUsage     | 1.20536e+09 | 1.20608e+09 | 1.20658e+09 | 1.20258e+09 |      1.93947e+12 |       50 | type1    |
| JobMemoryUsage            | 3.6301e+08  | 3.63008e+08 | 3.63016e+08 | 3.63004e+08 |      9.10763e+06 |       50 | type1    |
| UserProfileMemoryUsage    | 4.36395e+08 | 4.36414e+08 | 4.36527e+08 | 4.36187e+08 |      1.71249e+10 |       50 | type1    |
| UserPreferenceMemoryUsage | 3.82929e+08 | 3.82941e+08 | 3.82947e+08 | 3.82849e+08 |      8.70764e+08 |       50 | type1    |
| OrganizationMemoryUsage   | 3.94356e+08 | 3.94365e+08 | 3.94375e+08 | 3.94301e+08 |      5.2787e+08  |       50 | type1    |
| TeamMemoryUsage           | 4.22992e+08 | 4.23154e+08 | 4.23821e+08 | 4.19795e+08 |      8.79056e+11 |       50 | type1    |
| PlanMemoryUsage           | 3.82226e+08 | 3.82226e+08 | 3.82239e+08 | 3.82214e+08 |      3.91335e+07 |       50 | type1    |
| StorageMemoryUsage        | 4.15037e+08 | 4.15044e+08 | 4.15564e+08 | 4.14683e+08 |      5.61908e+10 |       50 | type1    |
| MemoryUsage               | 4.14861e+08 | 4.14867e+08 | 4.15199e+08 | 4.14667e+08 |      3.57829e+10 |       50 | type2    |
| AuthMemoryUsage           | 4.14861e+08 | 4.14867e+08 | 4.15199e+08 | 4.14667e+08 |      3.57829e+10 |       50 | type2    |
| WebsocketMemoryUsage      | 3.61016e+08 | 3.61017e+08 | 3.6103e+08  | 3.61009e+08 |      2.35946e+07 |       50 | type2    |
| WebGatewayMemoryUsage     | 1.20296e+09 | 1.20335e+09 | 1.20419e+09 | 1.19978e+09 |      1.39079e+12 |       50 | type2    |
| JobMemoryUsage            | 3.62916e+08 | 3.62914e+08 | 3.62926e+08 | 3.62914e+08 |      1.48066e+07 |       50 | type2    |
| UserProfileMemoryUsage    | 4.37887e+08 | 4.38325e+08 | 4.38718e+08 | 4.35409e+08 |      9.71633e+11 |       50 | type2    |
| UserPreferenceMemoryUsage | 3.85898e+08 | 3.86257e+08 | 3.87207e+08 | 3.8221e+08  |      1.88279e+12 |       50 | type2    |
| OrganizationMemoryUsage   | 3.93971e+08 | 3.93959e+08 | 3.94306e+08 | 3.93851e+08 |      1.0239e+10  |       50 | type2    |
| TeamMemoryUsage           | 4.17527e+08 | 4.18365e+08 | 4.18484e+08 | 4.12512e+08 |      2.54334e+12 |       50 | type2    |
| PlanMemoryUsage           | 3.81215e+08 | 3.81186e+08 | 3.8128e+08  | 3.81182e+08 |      1.98834e+09 |       50 | type2    |
| StorageMemoryUsage        | 4.1431e+08  | 4.14314e+08 | 4.1436e+08  | 4.14274e+08 |      1.05361e+09 |       50 | type2    |
| MemoryUsage               | 4.14415e+08 | 4.14437e+08 | 4.14466e+08 | 4.14335e+08 |      2.43791e+09 |       50 | type3    |
| AuthMemoryUsage           | 4.14415e+08 | 4.14437e+08 | 4.14466e+08 | 4.14335e+08 |      2.43791e+09 |       50 | type3    |
| WebsocketMemoryUsage      | 3.5606e+08  | 3.56069e+08 | 3.56139e+08 | 3.56008e+08 |      1.86814e+09 |       50 | type3    |
| WebGatewayMemoryUsage     | 1.21403e+09 | 1.21469e+09 | 1.21528e+09 | 1.20959e+09 |      2.63351e+12 |       50 | type3    |
| JobMemoryUsage            | 3.6284e+08  | 3.62824e+08 | 3.63086e+08 | 3.62787e+08 |      4.50199e+09 |       50 | type3    |
| UserProfileMemoryUsage    | 4.371e+08   | 4.37752e+08 | 4.38206e+08 | 4.3382e+08  |      1.64662e+12 |       50 | type3    |
| UserPreferenceMemoryUsage | 3.85901e+08 | 3.86388e+08 | 3.86904e+08 | 3.82083e+08 |      2.23169e+12 |       50 | type3    |
| OrganizationMemoryUsage   | 3.96029e+08 | 3.96251e+08 | 3.97865e+08 | 3.92856e+08 |      1.50606e+12 |       50 | type3    |
