Namespace,mean,median,max,min,var,Thread,Action
OrganizationMemoryUsage,854283410.2857143,853016576.0,867684352.0,842829824.0,120225006378663.81,50,create_file_object
TeamMemoryUsage,453270147.6571429,453267456.0,453279744.0,453267456.0,18694612.11428571,50,create_file_object
PlanMemoryUsage,438232561.37142855,438235136.0,438235136.0,438226944.0,14888016.88739496,50,create_file_object
StorageMemoryUsage,435210298.51428574,435585024.0,436379648.0,430567424.0,2193977627677.2573,50,create_file_object
MemoryUsage,410971818.6666667,410984448.0,411009024.0,410775552.0,2733607672.685714,50,create_organization
AuthMemoryUsage,410971818.6666667,410984448.0,411009024.0,410775552.0,2733607672.685714,50,create_organization
WebsocketMemoryUsage,1025288192.0,1023631360.0,1084002304.0,987992064.0,998151203458720.9,50,create_organization
WebGatewayMemoryUsage,1005876792.8888888,1005043712.0,1008148480.0,1002246144.0,3100234208701.359,50,create_organization
JobMemoryUsage,680008021.3333334,680013824.0,680275968.0,679567360.0,30141826428.34285,50,create_organization
UserProfileMemoryUsage,521884216.8888889,528343040.0,528736256.0,505753600.0,84515167265886.31,50,create_organization
UserPreferenceMemoryUsage,355677297.7777778,355659776.0,355704832.0,355659776.0,408032545.3206349,50,create_organization
OrganizationMemoryUsage,848109568.0,847900672.0,850776064.0,842338304.0,3968739603719.3145,50,create_organization
TeamMemoryUsage,453258126.2222222,453259264.0,453263360.0,453255168.0,5379361.320634922,50,create_organization
PlanMemoryUsage,438210218.6666667,438206464.0,438218752.0,438206464.0,32955245.71428571,50,create_organization
StorageMemoryUsage,430568106.6666667,430567424.0,430579712.0,430567424.0,8148933.485714286,50,create_organization
MemoryUsage,410867712.0,410865664.0,410877952.0,410865664.0,10066329.6,100,create_user_profile
AuthMemoryUsage,410867712.0,410865664.0,410877952.0,410865664.0,10066329.6,100,create_user_profile
WebsocketMemoryUsage,859093447.1111112,859054080.0,859324416.0,859033600.0,10833554350.730162,100,create_user_profile
WebGatewayMemoryUsage,1038701454.2222222,1043148800.0,1044926464.0,1015058432.0,107090546892826.0,100,create_user_profile
JobMemoryUsage,684635249.7777778,684847104.0,685350912.0,682676224.0,606879464795.835,100,create_user_profile
UserProfileMemoryUsage,524137472.0,531091456.0,543191040.0,470532096.0,462935769226561.8,100,create_user_profile
